Configuration: Open-type configuration
Grashof type: Crank-rocker




 Theta2    Theta4     Omega4    Alpha4
 =====================================
   0.0     129.023    -6.667      5.297
   5.0     125.718    -6.520     28.482
  10.0     122.537    -6.171     51.016
  15.0     119.577    -5.638     70.460
  20.0     116.923    -4.956     85.131
  25.0     114.639    -4.169     94.370
  30.0     112.764    -3.324     98.438
  35.0     111.318    -2.463     98.187
  40.0     110.298    -1.619     94.710
  45.0     109.692    -0.816     89.077
  50.0     109.473    -0.068     82.185
  55.0     109.613     0.616     74.716
  60.0     110.078     1.235     67.143
  65.0     110.837     1.789     59.771
  70.0     111.857     2.280     52.772
  75.0     113.107     2.711     46.230
  80.0     114.559     3.088     40.167
  85.0     116.186     3.414     34.568
  90.0     117.965     3.692     29.395
  95.0     119.872     3.928     24.597
 100.0     121.886     4.123     20.117
 105.0     123.988     4.280     15.897
 110.0     126.159     4.401     11.883
 115.0     128.383     4.488      8.022
 120.0     130.641     4.541      4.269
 125.0     132.919     4.562      0.585
 130.0     135.198     4.551     -3.058
 135.0     137.465     4.509     -6.673
 140.0     139.702     4.435    -10.260
 145.0     141.895     4.330    -13.797
 150.0     144.027     4.195    -17.238
 155.0     146.084     4.030    -20.516
 160.0     148.052     3.837    -23.543
 165.0     149.917     3.620    -26.217
 170.0     151.668     3.381    -28.436
 175.0     153.295     3.125    -30.110
 180.0     154.791     2.857    -31.183
 185.0     156.151     2.583    -31.640
 190.0     157.374     2.307    -31.511
 195.0     158.459     2.034    -30.873
 200.0     159.409     1.769    -29.832
 205.0     160.229     1.514    -28.508
 210.0     160.925     1.272    -27.025
 215.0     161.503     1.043    -25.493
 220.0     161.970     0.827    -24.004
 225.0     162.332     0.623    -22.630
 230.0     162.595     0.431    -21.423
 235.0     162.765     0.249    -20.420
 240.0     162.846     0.074    -19.645
 245.0     162.840    -0.095    -19.115
 250.0     162.752    -0.260    -18.842
 255.0     162.581    -0.424    -18.836
 260.0     162.327    -0.590    -19.108
 265.0     161.990    -0.759    -19.672
 270.0     161.568    -0.934    -20.545
 275.0     161.055    -1.118    -21.749
 280.0     160.447    -1.314    -23.308
 285.0     159.738    -1.526    -25.249
 290.0     158.918    -1.756    -27.602
 295.0     157.978    -2.009    -30.387
 300.0     156.905    -2.288    -33.613
 305.0     155.685    -2.597    -37.260
 310.0     154.302    -2.939    -41.258
 315.0     152.739    -3.318    -45.454
 320.0     150.978    -3.732    -49.568
 325.0     149.001    -4.181    -53.145
 330.0     146.793    -4.656    -55.509
 335.0     144.343    -5.144    -55.747
 340.0     141.651    -5.620    -52.773
 345.0     138.730    -6.052    -45.514
 350.0     135.612    -6.400    -33.239
 355.0     132.352    -6.618    -15.955
 360.0     129.023    -6.667      5.297





